Zs,Zp
(0.3118141942592745+0.017575308523887806j),(2993506.328644814+10728378.974423045j)
(0.31181342079549257+0.019665202716736545j),(-2046782.9165139648-5270040.841330215j)
(0.31181277631283644+0.021250185475015733j),(-2177156.5231011068+29149564.881022304j)
(0.31181164875210277+0.02377035192195604j),(5615676.8372339625+4952222.201906323j)
(0.3176032070659973+0.026067845874685566j),(5104029.658345863-1014127.6722756907j)
(0.31180904606475934+0.028756242013933054j),(605758.0089083397-40068711.052544j)
(0.31180668597341477+0.03262518013556738j),(-1008503.1661642579-10322798.351875296j)
(0.3175971256061394+0.035938023309895324j),(-19367872.20395788-4568766.1724274475j)
(0.3118016969060555+0.03957802848857497j),(-3728629.255714141-3007036.956240525j)
(0.3175905940346002+0.04414575234775985j),(3064514.4240897195-25901584.05291806j)
(0.3175860654993867+0.04903649040927973j),(-11230975.102829475-14630354.959639467j)
(0.3233745391709286+0.053822770086011926j),(-55129076.60029912-11334063.199041914j)
(0.3175741405926136+0.060038673316985106j),(-8058527.774165653+13726904.68869583j)
(0.3175667009992389+0.06597974554228601j),(-11609015.48619684-25676206.56334402j)
(0.317556038056066+0.0736640578351056j),(659181.7336954622-21891634.099836446j)
(0.3175430751706787+0.08204215178824749j),(1103131.327076532-11615153.404734278j)
(0.32332075507905955+0.09115964943022463j),(22398647.128257062-2982855.056105609j)
(0.3233020797541064+0.1009439947296555j),(-12532224.655354118-3241059.404651546j)
(0.3232793864502925+0.11168569077137035j),(15329875.979135428-8360753.8247365495j)
(0.32325000940197635+0.12421912686481751j),(6086251.673105287-13280418.226703003j)
(0.31742069322124866+0.13801020874371436j),(-2728324.0582480403-8531319.956136404j)
(0.32316976976369816+0.15331739560751598j),(-214589205.4009132+62401629.62436153j)
(0.32311556711310807+0.1701808427320114j),(-682250.7311728188-11219244.261711717j)
(0.32304921963588473+0.18878331059765074j),(24505107.120512217-15123416.724297782j)
(0.32296591055858137+0.20981864791177268j),(42718940.17188293-3264030.554510014j)
(0.32286258899703046+0.23328683884225226j),(-510432.7321564082-13952744.592822801j)
(0.31694274655993393+0.2591228969768243j),(1527272.0064702784-11568380.766878111j)
(0.3167814819342363+0.28874441225338715j),(-20120134.540400982-20717359.940695222j)
(0.32237603271237925+0.3215467657308076j),(-1759559.47807085-8005739.356439308j)
(0.31053979121833386+0.35852799803289304j),(-1367521.4025609184-12133164.01868667j)
(0.3102267378517598+0.40005249041021496j),(3280578.906173496-6634262.231906405j)
(0.3040401579971319+0.446899060630294j),(2132810.7445034967-11562840.117969383j)
(0.3093337104239091+0.4998980119405149j),(-1218139.2686169473-7827888.327195622j)
(0.30870889359431164+0.5592547440319363j),(-715789.0914783187-7024856.2643829705j)
(0.30213013913349407+0.6260019596267219j),(-949911.3718037409-5998069.476938318j)
(0.29535040082698805+0.7008964255775008j),(720688.2446279101-6415216.210338564j)
(0.29989746638766634+0.7851686816650731j),(235778.9840351008-5199765.988256801j)
(0.29833424217287074+0.8796291550638298j),(645938.5399699105-5093007.926975369j)
(0.30217083487490415+0.9851729331430421j),(756154.7700960364-4422492.881858339j)
(0.3055282058132769+1.1025896654941723j),(745942.0105841565-3956718.760380633j)
(0.3082867038178838+1.2333737579156066j),(338491.576437715-3825480.679015851j)
(0.3103253114857485+1.3781411699494024j),(439786.24765916204-3438553.9553290717j)
(0.3172731131546591+1.538474464470835j),(10349.404881401148-3157603.894219731j)
(0.3231433783176252+1.7156416812471973j),(164893.31502836623-2825538.8318121694j)
(0.33349640951239046+1.911359787910794j),(138475.5285991897-2574525.794070145j)
(0.34223664167928325+2.1275687503369314j),(91109.03397147583-2341402.6078056223j)
(0.3548026645609714+2.3665688070210913j),(138271.2487090359-2102894.7187161585j)
(0.3649372562275821+2.6308763991817834j),(26921.30448398283-1899727.1907986088j)
(0.377905026732106+2.9232097517716307j),(141761.9748901507-1610750.7478041814j)
(0.3987760602869206+3.248013189660182j),(78727.62342205916-1441725.706827224j)
(0.4150332415284175+3.609018630692308j),(11283.278560032897-1320319.4024003507j)
(0.4257274520962362+4.008442870852304j),(32449.382756479423-1154830.1031965225j)
(0.44098796207702184+4.45382409151047j),(30148.44753216616-1063824.7667138379j)
(0.4592558997217111+4.949351598860073j),(11938.378588577194-956612.1733206075j)
(0.47271571360595344+5.500027101529876j),(18440.648309908564-846060.2877098019j)
(0.48466069952763924+6.112891365201136j),(11239.969607601879-769109.5752431018j)
(0.503689135326002+6.796056928757119j),(-4335.660634640403-687806.9722713636j)
