# Freq,Mag1,Mag2,V1,V2,Zr,Zi,Ar,Ai
1.886207068293959921e+01,-1.091628935465683981e+02,-1.071629368256521957e+02,2.202344825637133040e-06,2.772574051620280462e-06,9.233652259520713557e+00,-9.073958741731585675e+00,5.509435659609056984e-02,5.414151460379151848e-02
2.102971923215515915e+01,-1.119479053215356998e+02,-1.081607017368431940e+02,1.598213260008959738e-06,2.471695169482717865e-06,-2.631741778362524542e+01,-7.358416235884954304e+00,-3.524247769927049689e-02,9.853885446788796659e-03
2.344647618054377958e+01,-1.146959421839482047e+02,-1.117984947300515017e+02,1.164750448812183134e-06,1.625942784785460588e-06,1.682866230432893317e+01,1.042836175307745350e+01,4.293523316452777655e-02,-2.660604481184748391e-02
2.614096932137069018e+01,-1.121496280767790950e+02,-1.077344829242955058e+02,1.561523742109206837e-06,2.596006941817466294e-06,3.282512701362412599e+01,-4.440426604771280594e+00,2.991700417792305181e-02,4.047029619460903310e-03
2.914511638332659160e+01,-1.079935636663504965e+02,-1.196056612892040931e+02,2.519717268413774486e-06,6.618307343158399051e-07,2.510320009477521808e+01,2.700005165999431966e+01,1.846946038694241912e-02,-1.986505237168764704e-02
3.249450311328821783e+01,-1.094549419344776027e+02,-1.085390882758059945e+02,2.129525764983212523e-06,2.366331483065540095e-06,2.061734052264982964e+00,-5.163642419328037469e+00,6.669267530654045262e-02,1.670327590956735830e-01
3.622880480873826059e+01,-1.211771383981319019e+02,-1.044512523887556057e+02,5.522974979438690511e-07,3.788500738350451570e-06,-5.630833382240434304e+01,-2.875138427198786530e+02,-6.560079216600611055e-04,3.349617110071889583e-03
4.039225629312407762e+01,-1.089586468320112971e+02,-1.101501352869216959e+02,2.254746150139218018e-06,1.965727128613216091e-06,-4.707680521679914465e-01,6.391831904688528354e+00,-1.146058559634762636e-02,-1.556055818227192467e-01
4.503417590126795744e+01,-1.058690170238891000e+02,-1.054850682894949045e+02,3.217948908219624733e-06,3.363384986078895421e-06,1.914732550989274085e+00,-1.200107289426049384e+00,3.749629308644667480e-01,2.350175466346491049e-01
5.020954968171911759e+01,-1.133262136716496968e+02,-1.160503907400147057e+02,1.363701480782105580e-06,9.965760793531477938e-07,-1.174991116469021435e+01,-6.567240817965117827e+00,-6.484889806975095705e-02,3.624523832005976248e-02
