frequency_hz,z_real_ohm,z_imag_ohm,z_mod_ohm,z_phase_deg,delta_phase_deg
59108.9504,9772.186630861588,-114.764266928998,9772.860501682897,-0.6728489853378092,-0.669424149184151
53016.2665,9774.553078300472,-104.22877387038892,9775.108772684616,-0.6109376530507659,-0.6078286480186498
47551.5891,9777.139915667516,-96.37458206378949,9777.614892733654,-0.5647539078305308,-0.5618806526806542
42650.1859,9781.269074321764,-84.1575054548635,9781.631110914363,-0.4929575969433412,-0.49045062937063066
38253.9972,9779.014009033415,-77.46784850298471,9779.32084842416,-0.4538788795984592,-0.45157010256410374
34310.9478,9779.014755196342,-69.49964669072432,9779.261719743363,-0.40719535565601495,-0.40512403030303146
30774.3302,9776.14694282203,-62.35039665143047,9776.345770256446,-0.365416576025299,-0.36355721678321784
27602.2511,9777.657499199982,-56.797537020509345,9777.822463712115,-0.332822310018538,-0.3311290536130546
24757.1356,9775.905272492135,-49.48877943436511,9776.030535755779,-0.2900472022090644,-0.2885712960372968
22205.2818,9777.160910941964,-43.62744171795013,9777.258247183734,-0.25566232508863107,-0.2543615477855485
19916.4616,9774.121296842315,-41.629262364955494,9774.20994867982,-0.2440287513243296,-0.24278677855477923
17863.5626,9773.923609100088,-39.772046974154016,9774.004528965832,-0.23314668171044864,-0.23196006759906823
16022.2672,9780.897484579655,-36.4849011839428,9780.965532700287,-0.21372488172706583,-0.21263788578088638
14370.7642,9782.110958405308,-35.611634630488005,9782.175780013069,-0.20858354201390167,-0.20752282517482573
12889.4907,9781.722953908178,-34.08546383576198,9781.782340957043,-0.19965248711543293,-0.1986371468531474
11560.9002,9786.26147024851,-28.536792867702182,9786.30307688341,-0.16707433812824302,-0.16622506526806574
10369.2547,9791.72848878894,-25.593685299107676,9791.761937204566,-0.1497597499787698,-0.14899891272727317
9300.43876,9799.834441817624,-20.677380887081025,9799.856256145562,-0.12089233804149918,-0.12027866284382317
8341.79151,9799.487144933628,-17.071803154186767,9799.502015418047,-0.09981555824394805,-0.09930885491841521
7481.95728,9801.364163858014,-15.899793431750656,9801.377060188597,-0.09294525174634424,-0.09247351459207485
6710.75089,9796.447304802072,-7.91390203624643,9796.450501360645,-0.04628546180190416,-0.04605042554778568
6019.03698,9788.026934698919,-1.34953732893209,9788.027027733553,-0.00789973232287389,-0.007859583356643385
5398.62181,9783.756500203603,7.396582416438616,9783.759296134982,0.0433159670863445,0.04309572596736611
4842.15624,9782.777113895703,4.472956958604756,9782.778136475625,0.026197217296153166,0.026064003589743666
4343.04863,9783.504905080026,4.503172146864543,9783.50594144473,0.026372219640980386,0.026238125967366046
3895.38678,9783.169207008394,0.10419923450186291,9783.1692075633,0.000610249729806173,0.0006071467132867103
3493.86789,9782.653737799257,-4.781945728580459,9782.654906551836,-0.028007255866294243,-0.027864836270396345
3133.73575,9792.58640878384,-11.149535079229306,9792.592756039152,-0.0652351688167941,-0.06490377668997688
2810.72441,9793.14531429936,-17.81647703665148,9793.161520869422,-0.1042369719854517,-0.1037074829836833
2521.00763,9792.716495449926,-9.518343067642707,9792.721121277365,-0.055690442406252934,-0.055407540792540955
2261.15354,9787.083729627058,-0.07682324712805494,9787.083729928569,-0.00044974048965302935,-0.000447454545454546
2028.08404,9771.911901405627,2.899256551648454,9771.912331499985,0.016999248554116345,0.01691271118881124
1819.03829,9777.23175880035,12.167075838029383,9777.2393293316,0.07130052267115375,0.07093775291375312
1631.54003,9781.325831358945,7.577307551513994,9781.328766317974,0.04438535873494192,0.044159624475524586
